x1,x2,stop,event,weight
-0.0634542076857541,1.2492131101839494,0.2,0,1.66
1.9880112028878816,-0.053374981120936464,0.1,1,1.5
-0.23915753258471148,1.0620296514037033,0.2,0,0.74
0.05846601058920227,0.8133964156153605,1.1,1,2.51
1.6014122751018256,0.5601724982311908,0.8,1,1.16
1.0882944407648927,-2.330455991976751,0.5,0,0.58
1.0498919768253152,-0.15836698771507549,0.1,1,0.33
-0.9350612628863822,-0.14514625838211553,0.1,0,1.14
-1.184148904198064,-1.1704272275457444,2.3,1,1.51
-2.0393923118137125,-0.6377950255711462,0.7,0,1.41
-1.3642770368237789,-0.7994409785467508,0.6,0,2.18
0.8094228267468196,0.058551039553268756,0.5,0,0.76
-1.2872333129558826,0.4542551920887223,1.9,0,2.05
0.9965308986848346,0.0251486176075926,0.2,1,2.57
0.013056973198579687,-0.1145482723788421,0.6,0,2.06
-1.0184416031798185,1.0371978363969327,0.3,0,2.78
0.4577999299202624,-0.10122778418511208,0.6,1,0.48
-0.06910697562479853,-0.17056936957999616,0.9,0,2.13
1.4737203882804777,-0.32078024105338954,0.4,0,2.94
-1.7398378698236534,0.10843765639528084,0.8,0,1.06
0.8653628282482027,0.6417002241968635,0.3,1,2.38
-0.4252694373882142,-1.6729728752269393,1.0,0,0.66
2.050103792981746,-1.034605510752475,2.3,0,0.78
0.09296244612799663,-0.20948603269271018,0.1,1,1.19
-0.713593271013399,-0.49423406994979135,0.2,0,2.18
-1.1858134084039857,-0.9866833570199371,0.7,1,0.65
-0.5936330004225218,-0.21398092062732832,0.3,0,0.41
2.362137876187793,-1.092013457546283,0.9,0,2.02
1.0419645791814691,-0.02486908645926548,0.1,1,2.62
-0.5004080281686283,-1.5369733417895965,1.0,1,1.35
-0.1749203912442473,-1.1651581666307487,0.1,1,1.31
0.16203321105212923,0.23487817892581803,0.7,0,0.94
-1.336510854883706,1.0388803187566944,0.2,1,1.35
-0.27602722285506454,-0.06432110115561485,0.3,1,1.68
0.20151552756671814,-0.45680016990089567,0.1,0,2.22
0.9800605707376125,1.578600126655784,0.1,0,0.88
0.1447282883726958,0.9111530625318982,1.4,1,0.47
1.9036514881859046,0.7037558173671667,0.1,1,2.11
-0.20398793293437587,1.237087452720169,0.3,1,0.97
0.17300807319784323,-0.15237548503283746,0.1,1,0.32
-1.4167782211349518,0.17698485974455508,0.1,1,2.17
-0.8305609425553082,0.2761225430163201,0.6,0,0.4
-2.1137547041015496,-1.190887088726539,0.2,0,2.3
1.4759924081806763,1.7574356644721152,0.1,1,2.82
