"hazard","time","strata"
0.114589530325193,0.1,"0"
0.205840476983043,0.2,"0"
0.301271644122333,0.3,"0"
0.455652607621449,0.4,"0"
0.53751332558814,0.5,"0"
0.645385191558319,0.6,"0"
0.800467913670734,0.7,"0"
0.905469575938666,0.8,"0"
1.02514266320265,0.9,"0"
1.11911442373649,1,"0"
1.24153927909492,1.1,"0"
1.31488863268357,1.2,"0"
1.40156165441592,1.3,"0"
1.46994375299128,1.4,"0"
1.59878415128159,1.5,"0"
1.65543454417084,1.6,"0"
1.85301441529517,1.7,"0"
1.85301441529517,1.8,"0"
1.97528013979918,1.9,"0"
2.10965495658619,2,"0"
2.15791863102276,2.1,"0"
2.21564464403263,2.2,"0"
2.36674610180567,2.3,"0"
2.58265574057851,2.4,"0"
2.70556713506701,2.6,"0"
2.86478286099434,2.7,"0"
3.05002556876301,2.8,"0"
3.3429372278348,3,"0"
3.77072806635739,3.4,"0"
3.77072806635739,3.8,"0"
3.77072806635739,3.9,"0"
