"hazard","time","strata"
0.11466853008206,0.1,"0"
0.191578648540077,0.2,"0"
0.266499938895852,0.3,"0"
0.328277666207875,0.4,"0"
0.443647106120806,0.5,"0"
0.517636956165551,0.6,"0"
0.629359267356461,0.7,"0"
0.720172204721222,0.8,"0"
0.759194550735069,0.9,"0"
0.836128340725142,1,"0"
1.04057950455622,1.1,"0"
1.12629269072838,1.2,"0"
1.20825061785078,1.3,"0"
1.26199464888547,1.4,"0"
1.40193205415944,1.5,"0"
1.48146191897182,1.6,"0"
1.62524470438631,1.7,"0"
1.69396513199245,1.8,"0"
1.69396513199245,1.9,"0"
1.86975852065473,2,"0"
2.02801551062008,2.1,"0"
2.06517445610849,2.2,"0"
2.4794472776067,2.3,"0"
2.4794472776067,2.4,"0"
2.4794472776067,3,"0"
3.99181321696413,3.2,"0"
3.99181321696413,3.5,"0"
