"hazard","time","strata"
0.123012715106761,0.1,"0"
0.20309719502044,0.2,"0"
0.282339515924198,0.3,"0"
0.345947145444853,0.4,"0"
0.468322196432302,0.5,"0"
0.545327156518668,0.6,"0"
0.665078114493373,0.7,"0"
0.761447411999027,0.8,"0"
0.801530202570769,0.9,"0"
0.881551393029098,1,"0"
1.10723109145265,1.1,"0"
1.19691567657481,1.2,"0"
1.28237561951046,1.3,"0"
1.33769823107236,1.4,"0"
1.48482815920227,1.5,"0"
1.56520047665386,1.6,"0"
1.71555324534439,1.7,"0"
1.78503262991195,1.8,"0"
1.78503262991195,1.9,"0"
1.96613791880302,2,"0"
2.12560853682325,2.1,"0"
2.16292794487465,2.2,"0"
2.66881434345767,2.3,"0"
2.66881434345767,2.4,"0"
2.66881434345767,3,"0"
4.2903881645604,3.2,"0"
4.2903881645604,3.5,"0"
