"hazard","time","strata"
0.122672175708342,0.1,"provider=0"
0.206358502383959,0.2,"provider=0"
0.376400349560116,0.3,"provider=0"
0.505037667366886,0.4,"provider=0"
0.638694414870713,0.5,"provider=0"
0.756406939029083,0.6,"provider=0"
0.978277954741691,0.7,"provider=0"
1.23715750709535,0.8,"provider=0"
1.40140783222136,0.9,"provider=0"
1.52181805636793,1,"provider=0"
1.6450118630765,1.1,"provider=0"
1.6847043726497,1.2,"provider=0"
1.80786321688005,1.3,"provider=0"
1.99191338916085,1.4,"provider=0"
1.99191338916085,1.5,"provider=0"
2.33149823041909,1.6,"provider=0"
2.4420818674835,1.7,"provider=0"
2.4420818674835,1.8,"provider=0"
2.4420818674835,1.9,"provider=0"
2.4420818674835,2,"provider=0"
4.61363233407065,2.3,"provider=0"
4.61363233407065,2.6,"provider=0"
0.10044562017238,0.1,"provider=1"
0.253019987779913,0.2,"provider=1"
0.318229905106448,0.3,"provider=1"
0.436297032722249,0.4,"provider=1"
0.510302304745752,0.5,"provider=1"
0.640885129110037,0.6,"provider=1"
0.718099628884148,0.7,"provider=1"
0.752075084833536,0.8,"provider=1"
0.869343914849799,0.9,"provider=1"
0.994137443829317,1,"provider=1"
1.04579590181922,1.1,"provider=1"
1.0574284973151,1.2,"provider=1"
1.15366968903165,1.3,"provider=1"
1.22084134410928,1.4,"provider=1"
1.30922310796422,1.5,"provider=1"
1.52288988494924,1.6,"provider=1"
1.52288988494924,1.7,"provider=1"
1.59884032103309,1.8,"provider=1"
1.59884032103309,1.9,"provider=1"
2.05919824017002,2,"provider=1"
2.05919824017002,2.2,"provider=1"
2.05919824017002,2.6,"provider=1"
2.05919824017002,2.7,"provider=1"
3.0287449253766,3.4,"provider=1"
4.7495923449588,4.2,"provider=1"
0,0.1,"provider=2"
0.0942710470557397,0.2,"provider=2"
0.122433391577837,0.3,"provider=2"
0.183742868637791,0.4,"provider=2"
0.228311069218271,0.5,"provider=2"
0.274720344040533,0.6,"provider=2"
0.294157170022846,0.7,"provider=2"
0.294157170022846,0.8,"provider=2"
0.305517372436143,0.9,"provider=2"
0.381044939116241,1,"provider=2"
0.381044939116241,1.1,"provider=2"
0.396405378343005,1.2,"provider=2"
0.396405378343005,1.3,"provider=2"
0.396405378343005,1.4,"provider=2"
0.471435776293743,1.5,"provider=2"
0.471435776293743,1.6,"provider=2"
0.471435776293743,1.7,"provider=2"
0.471435776293743,1.8,"provider=2"
0.471435776293743,1.9,"provider=2"
0.471435776293743,2,"provider=2"
0.471435776293743,2.1,"provider=2"
