"hazard","time","strata"
0.146724697843587,0.1,"0"
0.300948559213524,0.2,"0"
0.394821949912296,0.3,"0"
0.518728588639509,0.4,"0"
0.64301255058596,0.5,"0"
0.767661639988396,0.6,"0"
0.883243566675211,0.7,"0"
0.99264620923247,0.8,"0"
1.08304298695768,0.9,"0"
1.20402708448568,1,"0"
1.28053901276175,1.1,"0"
1.33518954400354,1.2,"0"
1.41014832716455,1.3,"0"
1.48721542153061,1.4,"0"
1.5353698106775,1.5,"0"
1.6215880646668,1.6,"0"
1.68741984344094,1.7,"0"
1.77952138246342,1.8,"0"
1.83434364963345,1.9,"0"
1.94860380060824,2,"0"
1.96697555347127,2.1,"0"
2.00974266814425,2.2,"0"
2.1116988318369,2.3,"0"
2.25426421597311,2.4,"0"
2.25426421597311,2.5,"0"
2.25426421597311,2.6,"0"
2.25426421597311,2.7,"0"
2.37149357922066,2.8,"0"
2.37149357922066,3,"0"
2.37149357922066,3.1,"0"
2.37149357922066,3.2,"0"
2.58126506855224,3.4,"0"
2.58126506855224,3.9,"0"
2.82046967920365,4.2,"0"
2.95774719061041,4.4,"0"
3.98301775463653,4.5,"0"
3.98301775463653,6,"0"
